From	To	Species	Gene Name
TMEM45B	ENSG00000151715	Homo sapiens	transmembrane protein 45B(TMEM45B)
PRR5	ENSG00000186654	Homo sapiens	proline rich 5(PRR5)
NRP1	ENSG00000099250	Homo sapiens	neuropilin 1(NRP1)
SPINT2	ENSG00000167642	Homo sapiens	serine peptidase inhibitor, Kunitz type 2(SPINT2)
ANTXR2	ENSG00000163297	Homo sapiens	ANTXR cell adhesion molecule 2(ANTXR2)
F11R	ENSG00000158769	Homo sapiens	F11 receptor(F11R)
PRSS22	ENSG00000282937	Homo sapiens	serine protease 22(PRSS22)
PRSS22	ENSG00000005001	Homo sapiens	serine protease 22(PRSS22)
HNMT	ENSG00000150540	Homo sapiens	histamine N-methyltransferase(HNMT)
KRTCAP3	ENSG00000157992	Homo sapiens	keratinocyte associated protein 3(KRTCAP3)
CDH3	ENSG00000062038	Homo sapiens	cadherin 3(CDH3)
CDH1	ENSG00000039068	Homo sapiens	cadherin 1(CDH1)
PRSS8	ENSG00000052344	Homo sapiens	serine protease 8(PRSS8)
ITGB6	ENSG00000115221	Homo sapiens	integrin subunit beta 6(ITGB6)
ENPP5	ENSG00000112796	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase family member 5(ENPP5)
DSP	ENSG00000096696	Homo sapiens	desmoplakin(DSP)
MMP2	ENSG00000087245	Homo sapiens	matrix metallopeptidase 2(MMP2)
LIX1L	ENSG00000271601	Homo sapiens	limb and CNS expressed 1 like(LIX1L)
SHROOM3	ENSG00000138771	Homo sapiens	shroom family member 3(SHROOM3)
TMC4	ENSG00000277789	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000277667	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000274384	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000274905	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000276260	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000167608	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000278363	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000273722	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000277996	Homo sapiens	transmembrane channel like 4(TMC4)
TMC4	ENSG00000274873	Homo sapiens	transmembrane channel like 4(TMC4)
EPN3	ENSG00000049283	Homo sapiens	epsin 3(EPN3)
CLDN4	ENSG00000189143	Homo sapiens	claudin 4(CLDN4)
C1ORF116	ENSG00000182795	Homo sapiens	chromosome 1 open reading frame 116(C1orf116)
ZEB1	ENSG00000148516	Homo sapiens	zinc finger E-box binding homeobox 1(ZEB1)
SCNN1A	ENSG00000111319	Homo sapiens	sodium channel epithelial 1 subunit alpha(SCNN1A)
CLDN7	ENSG00000181885	Homo sapiens	claudin 7(CLDN7)
